#[nu, E, S1, S2, S3]
1.000000047500000048e-03 1.120883520199999950e+01 7.469964790099999696e+00 7.470557892399999567e+00 7.477147721899999766e+00
1.000000047500000048e-03 1.127430057199999958e+01 7.513593234400000043e+00 7.514189800699999644e+00 7.520818109400000395e+00
1.000000047500000048e-03 1.133976594199999965e+01 7.557221677900000323e+00 7.557821707000000444e+00 7.564488499900000384e+00
1.000000047500000048e-03 1.140523131299999982e+01 7.600850123699999905e+00 7.601453615899999683e+00 7.608158885199999943e+00
1.000000047500000048e-03 1.147069668299999989e+01 7.644478569200000351e+00 7.645085524399999777e+00 7.651829271399999577e+00
1.000000047500000048e-03 1.153616205299999997e+01 7.688107010599999569e+00 7.688717429799999614e+00 7.695499664699999798e+00
1.000000047500000048e-03 1.160162742300000005e+01 7.731735455599999973e+00 7.732349337999999683e+00 7.739170051700000386e+00
1.000000047500000048e-03 1.166709279300000013e+01 7.775363900100000336e+00 7.775981245799999719e+00 7.782840439500000151e+00
1.000000047500000048e-03 1.173255816300000021e+01 7.818992343899999753e+00 7.819613153299999730e+00 7.826510828199999992e+00
1.000000047500000048e-03 1.179802353300000028e+01 7.862620785599999884e+00 7.863245058699999568e+00 7.870181221300000196e+00
1.000000047500000048e-03 1.186348890300000036e+01 7.906249229200000173e+00 7.906876965800000434e+00 7.913851610800000103e+00
1.000000047500000048e-03 1.192895427300000044e+01 7.949877672300000420e+00 7.950508872600000387e+00 7.957522001000000067e+00
1.000000047500000048e-03 1.199441964300000052e+01 7.993506113799999646e+00 7.994140778100000233e+00 8.001192394200000280e+00
1.000000047500000048e-03 1.205988501300000060e+01 8.037134556499999860e+00 8.037772684500000153e+00 8.044862785199999422e+00
1.000000047500000048e-03 1.212535038300000068e+01 8.080762998699999144e+00 8.081404590500000040e+00 8.088533177100000415e+00
1.000000047500000048e-03 1.219081575300000075e+01 8.124391440300000156e+00 8.125036496099999894e+00 8.132203570099999723e+00
1.000000047500000048e-03 1.225628112300000083e+01 8.168019881999999399e+00 8.168668401699999748e+00 8.175873962900000791e+00
1.000000047500000048e-03 1.232174649399999922e+01 8.211648323200000377e+00 8.212300306999999577e+00 8.219544356500000148e+00
1.000000047500000048e-03 1.238721186399999930e+01 8.255276764299999570e+00 8.255932211999999382e+00 8.263214750499999539e+00
1.000000047500000048e-03 1.245267723399999937e+01 8.298905205600000556e+00 8.299564117499999227e+00 8.306885143900000656e+00
1.000000047500000048e-03 1.251814260399999945e+01 8.342533645899999684e+00 8.343196022100000775e+00 8.350555539100000146e+00
1.000000047500000048e-03 1.258360797399999953e+01 8.386162085800000554e+00 8.386827926400000521e+00 8.394225934999999694e+00
1.000000047500000048e-03 1.264907334399999961e+01 8.429790527299999781e+00 8.430459831900000367e+00 8.437896328200000795e+00
1.000000047500000048e-03 1.271453871399999969e+01 8.473418966800000618e+00 8.474091735800000080e+00 8.481566725000000417e+00
1.000000047500000048e-03 1.278000408399999976e+01 8.517047405799999638e+00 8.517723639299999761e+00 8.525237122600000106e+00
